group_id,password,academic_year
G01,alpha123,2025/2026
G02,beta456,2025/2026
G03,gamma789,2025/2026
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
G05,mynewpass
G06,anotherpass
G07,ritamarley
G08,newgroup
